Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Aruba,ABW,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.501889962,-0.418781726,6.12145749,12.78993435,5.018450185,26.87584514,-6.828727173,-13.90056644,17.13022656,7.90463582,-4.743495244,-8.914522001,9.098427712,-17.95178081,0.676323283,-0.424762301,7.568159848,18.88811311,,,,,,
Afghanistan,AFG,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,0.013151224,0.024575271,0.009401115,0.015576924,,,0.001565217,-0.008126411,,0.032450496,0.247135743,0.005174216,,,,,,,,,,,,,,,,,,,,0.027623569,1.210999541,1.261005368,3.536112258,4.318674465,3.372251952,1.91683279,0.451730583,1.581753993,0.340096813,0.321361264,0.229964645,0.185738819,0.211049414,0.848804779,0.508478142,
Angola,AGO,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,4.15888,3.50064,1.78024,1.95976,1.994666667,-3.339072,5.483301719,5.065820233,5.723560583,4.195250709,9.374383969,2.398993967,5.382318076,17.28413919,40.16725096,9.62386631,24.00911706,13.95099333,25.20956085,11.18703092,-4.618014421,-0.090249654,-1.477846309,1.994547694,2.921219386,-3.913150783,-2.904234892,-5.977514651,-5.70002387,1.51581251,9.015117619,4.305258099,
Albania,ALB,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.81907494,4.722853826,2.66911917,2.887194416,2.71803211,2.012794501,1.662650244,1.206526636,3.937177072,5.104957226,3.043914454,3.097930681,4.665637771,3.217226761,3.615511297,6.095404867,9.680194543,11.14236365,9.137790485,8.140879556,7.468393449,9.813421777,8.688908134,8.744921296,9.166826412,
Andorra,AND,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,0.558907754,,0.245661042,-1.125553692,-3.240329482,1.518452656,0.041406573,0.646628628,0.593216166,0.097531589,-0.49314658,1.779427082,2.969618365,1.553085072,1.611194786,0.493650964,0.682847053,0.015498378,0.405297104,0.300846003,0.460489875,0.510177159,0.780385973,1.090102219,0.81678925,0.002201121,0.611025496,1.065075524,1.493763864,0.198071057,0.51594297,0.898115355,0.824186707,1.723569017,2.214646224,3.895699108,4.954539258,5.006747471,4.318259605,4.239376432,3.337665606,1.834758605,1.795980285,1.651645103,1.628620202,1.465490158,1.578190474,
United Arab Emirates,ARE,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,,,,,,0.108351028,0.257273417,0.451274584,0.16453683,0.206818389,0.223951383,-0.034337775,0.203892014,0.106393608,0.407195241,-0.544187527,0.324685539,0.128404884,0.520707069,0.093548785,-0.22843531,0.050317964,0.239162943,0.721471949,0.105319789,0.608195467,0.408474867,0.294815986,0.340485312,-1.166835786,-0.485281533,1.14589217,0.086781366,3.422662713,6.767152113,6.034831061,5.765437532,5.500439718,1.604874609,0.447367364,3.034620045,2.038166094,2.355375977,2.430923909,2.684385294,2.457080224,2.57659599,
Argentina,ARG,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,0.284224297,0.377464477,0.206489502,0.190792478,0.024738815,0.106009598,0.478175477,0.253605959,0.430419501,0.29746292,0.88095511,1.06384544,0.269252481,0.177920359,0.338845892,1.039396769,0.51742271,-0.017100757,0.908825708,1.341390409,1.298881665,1.285578854,1.936712402,1.179802812,1.411953029,2.17392759,2.553203406,3.127877939,2.438768962,8.460582171,3.665790595,0.806164135,2.198958195,1.294810869,2.505017516,2.649354415,2.381065197,2.251291536,2.689902865,1.206439226,2.675161719,2.04464008,2.8066719,1.779205536,0.96240665,2.011076284,0.597673174,
Armenia,ARM,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.188593629,0.066593791,0.608291621,1.724422857,1.100209269,3.168053675,11.66113519,6.612905897,5.450433166,3.298067417,4.659499749,4.376570097,6.909902013,5.96010634,7.307315032,7.252331977,8.092349209,8.788694552,5.716037845,6.440668367,4.676727878,3.111931481,3.479029762,1.689473725,3.198123732,
American Samoa,ASM,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
