Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Aruba,ABW,Trade (% of GDP),NE.TRD.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155.9848803,171.319797,175.3441296,168.781911,163.2673599,164.5912037,145.0728795,139.0219564,134.3349949,133.9600844,133.6532435,146.4810066,143.4648997,142.3633069,141.1872875,140.0629095,136.3187909,157.2084156,,,,,,
Afghanistan,AFG,Trade (% of GDP),NE.TRD.GNFS.ZS,11.15702658,12.55060956,14.22764443,26.03551143,26.94444795,32.67108262,27.14285731,20.98273546,24.11003307,25.07886423,21.72811007,27.06313745,32.86908104,27.69230879,28.86598016,26.94835767,28.08695666,26.48607983,24.71380403,,,,,,,,,,,,,,,,,,,,,,,,97.67442275,137.9010395,121.1358187,104.8624006,100.5553494,76.17376109,73.06552024,56.90681742,54.9673281,50.30122207,44.65924776,56.06566994,52.34157719,55.80373195,55.92122685,
Angola,AGO,Trade (% of GDP),NE.TRD.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,66.66666667,66.66666667,50,142.3076923,109.2936803,161.2060626,,152.1100715,137.6737442,129.8674995,178.9937855,152.4556525,150.3355064,124.9600193,130.4537094,124.3951636,139.657432,118.7745214,117.4738144,127.5449782,110.3163721,105.3377068,107.5156711,102.0528309,95.06895154,90.2287335,70.32291921,59.46033479,
Albania,ALB,Trade (% of GDP),NE.TRD.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,45.82507495,44.49760558,43.25253868,39.00562196,36.79042982,34.68540615,30.5250142,31.02880802,35.60030574,38.65852973,38.06578311,34.81638627,100.0026865,77.71506891,50.30201214,46.98742199,43.22020295,43.93564972,45.48134083,48.029748,55.92042872,57.43036125,63.93424074,65.44062195,66.35782544,70.2953012,73.45504917,82.87242263,77.45171109,75.09490534,76.54347155,81.21854854,76.51017347,75.69519683,75.40783394,72.12828757,74.79398213,
Andorra,AND,Trade (% of GDP),NE.TRD.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Trade (% of GDP),NE.TRD.GNFS.ZS,,,,,,,,,,,59.17298688,59.45090136,62.35934656,81.21089073,74.70676895,82.85912052,77.60472485,80.6621365,78.47695412,81.31666803,84.79932276,87.44514831,82.6387653,75.04057801,71.73295611,64.8090701,57.21133578,58.91615165,60.62808138,65.90036169,65.47181947,68.77267035,63.93682768,60.39346677,58.65789687,61.84602664,61.87833632,68.43053517,66.43758648,66.44966497,70.81867055,72.35680324,73.72071594,79.90691077,84.99724474,89.07628651,89.65119219,93.45427918,97.77954285,89.66175482,90.20465028,94.37562876,95.39903611,94.49189265,93.070244,89.51391609,85.74793171,
United Arab Emirates,ARE,Trade (% of GDP),NE.TRD.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.86457993,93.07165881,102.3001695,116.6226733,119.553124,119.4707027,136.7981529,148.513544,153.4619444,156.7459264,171.3508997,185.5749163,185.777992,188.1229948,196.4294843,205.260996,
Argentina,ARG,Trade (% of GDP),NE.TRD.GNFS.ZS,15.20809609,11.98989231,14.07552565,15.78090624,11.12742968,10.37645741,11.64260542,12.49266037,11.88816489,12.79742663,10.33744408,12.61518892,14.0356432,13.32216851,13.19157986,11.80272429,15.09688462,16.94228657,14.32379637,12.84068464,11.54567246,14.29297748,15.6114861,14.98767011,12.34638143,18.00942507,14.48603279,15.44896988,15.74345861,19.6377977,14.990859,13.75305416,14.73098059,16.22315153,18.13422545,19.77150099,21.50635817,23.3361447,23.34994435,21.38265679,22.62250234,21.85242285,41.7527513,40.64468975,40.69264611,40.56689189,40.43347987,40.94517062,40.40267338,34.05712691,34.97101326,35.206155,30.52654237,29.333929,28.41113405,22.85660826,26.26615514,
Armenia,ARM,Trade (% of GDP),NE.TRD.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.33571855,100.8658552,101.0767594,107.9731463,112.428831,86.11485496,79.22956157,78.54774452,71.84245314,70.56041951,73.91856775,71.61719663,75.9434196,82.18764655,75.03721018,72.03892547,62.60919306,58.33645838,55.70286212,58.47886987,66.14728669,71.11086512,75.96674339,76.55619579,75.61168484,71.59326535,75.73000666,
American Samoa,ASM,Trade (% of GDP),NE.TRD.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209.5330739,205.6925996,200.5859375,221.0735586,227.6209677,216.5384615,247.7797513,160.1769912,156.4236111,155.7491289,174.689441,171.2948518,171.6951788,164.491654,158.5106383,
Antigua and Barbuda,ATG,Trade (% of GDP),NE.TRD.GNFS.ZS,,,,,,,,,,,,,,,,,,85.63323093,101.9158425,132.9673542,128.948064,142.1064116,146.8396256,115.9745102,133.0218783,140.6591231,171.9306228,157.2269185,137.8007825,143.5404841,149.2721269,151.0740638,158.9730005,156.5448057,145.6298082,145.6021783,137.2647696,135.4032631,131.3194081,130.7952567,116.2817906,116.38069,110.7645412,116.5660205,122.4814609,120.1330804,118.1137919,115.4232087,115.2835995,103.5815824,104.3640827,103.2468586,102.7987641,106.1544657,104.1558171,93.24069744,88.7302849,
